ordine_data,revenue,google_search_spent,google_performance_max_spent,fb_retargeting_spent,fb_prospecting_spent,google_organico,Sconti
2020-09-25,6215.4,128.96,0.0,0.0,0.0,0,0
2020-09-26,3957.07,119.81,0.0,0.0,0.0,0,0
2020-09-27,7067.48,173.26,0.0,0.0,0.0,0,0
2020-09-28,12271.88,231.14,0.0,0.0,0.0,0,0
2020-09-29,11847.3,163.09,0.0,0.0,0.0,0,0
2020-09-30,9672.76,79.95,0.0,0.0,0.0,0,1
2020-10-01,8872.55,96.84,0.0,0.0,0.0,0,0
2020-10-02,7063.05,61.47,0.0,0.0,0.0,0,0
2020-10-03,3964.66,53.49,0.0,0.0,0.0,0,0
2020-10-04,7146.57,85.59,0.0,0.0,0.0,0,0
2020-10-05,11264.39,105.34,0.0,0.0,0.0,0,0
2020-10-06,10184.43,78.71,0.0,0.0,0.0,0,0
2020-10-07,9735.78,70.63,0.0,0.0,0.0,0,0
2020-10-08,9085.08,84.54,0.0,0.0,0.0,0,0
2020-10-09,6377.34,76.76,0.0,0.0,0.0,0,0
2020-10-10,3837.35,64.55,0.0,0.0,0.0,0,0
2020-10-11,6681.52,84.24,0.0,0.0,0.0,0,0
2020-10-12,11990.92,98.24,0.0,0.0,0.0,0,1
2020-10-13,11088.09,99.98,0.0,0.0,0.0,0,1
2020-10-14,10212.05,89.93,0.0,0.0,0.0,0,0
2020-10-15,10377.92,93.21,0.0,0.0,0.0,0,0
2020-10-16,5581.22,48.78,0.0,0.0,0.0,0,0
2020-10-17,3897.77,44.8,0.0,0.0,0.0,0,0
2020-10-18,6834.29,48.03,0.0,0.0,0.0,0,0
2020-10-19,12824.65,121.66,0.0,0.0,0.0,0,0
2020-10-20,11168.82,103.05,0.0,0.0,0.0,0,0
2020-10-21,10434.2,108.15,0.0,0.0,0.0,0,1
2020-10-22,9957.83,107.06,0.0,0.0,0.0,0,0
2020-10-23,9749.85,49.32,0.0,0.0,0.0,0,114
2020-10-24,4918.98,45.96,0.0,0.0,0.0,0,66
2020-10-25,7336.0,40.97,0.0,0.0,0.0,0,90
2020-10-26,14362.18,92.72,0.0,0.0,0.0,0,120
2020-10-27,11618.53,73.3,0.0,0.0,0.0,0,85
2020-10-28,11434.27,86.02,0.0,0.0,0.0,0,71
2020-10-29,10223.31,84.4,0.0,0.0,0.0,0,68
2020-10-30,7000.42,69.81,0.0,0.0,0.0,0,46
2020-10-31,3675.85,39.48,0.0,0.0,0.0,0,29
2020-11-01,7901.92,61.84,0.0,0.0,0.0,0,49
2020-11-02,14870.65,108.24,0.0,0.0,0.0,0,52
2020-11-03,12300.85,86.29,0.0,0.0,0.0,0,70
2020-11-04,10180.9,110.83,0.0,0.0,0.0,0,41
2020-11-05,12829.57,92.42,0.0,0.0,0.0,0,67
2020-11-06,8460.75,76.36,0.0,0.0,0.0,0,43
2020-11-07,4643.2,35.28,0.0,0.0,0.0,0,27
2020-11-08,9240.43,66.68,0.0,0.0,0.0,0,48
2020-11-09,11007.38,114.72,0.0,0.0,0.0,0,47
2020-11-10,12151.04,97.57,0.0,0.0,0.0,0,47
2020-11-11,11062.4,228.52,0.0,0.0,0.0,0,43
2020-11-12,11995.24,209.43,0.0,0.0,0.0,0,52
2020-11-13,8139.49,169.14,0.0,0.0,0.0,0,31
2020-11-14,4754.07,181.29,0.0,0.0,0.0,0,15
2020-11-15,9034.2,201.0,0.0,0.0,0.0,0,36
2020-11-16,16381.56,251.75,0.0,0.0,0.0,0,71
2020-11-17,14396.96,206.53,0.0,0.0,0.0,0,42
2020-11-18,14348.52,178.84,0.0,0.0,0.0,0,59
2020-11-19,12426.45,147.81,0.0,0.0,0.0,0,45
2020-11-20,10914.51,204.43,0.0,0.0,0.0,0,41
2020-11-21,6051.89,201.7,0.0,0.0,0.0,0,7
2020-11-22,9146.3,350.99,0.0,0.0,0.0,0,6
2020-11-23,17098.56,278.99,0.0,0.0,0.0,0,31
2020-11-24,15286.43,273.44,0.0,0.0,0.0,0,17
2020-11-25,12281.33,248.19,0.0,0.0,0.0,0,20
2020-11-26,12458.98,180.74,0.0,0.0,0.0,0,9
2020-11-27,9748.81,245.51,0.0,0.0,0.0,0,10
2020-11-28,6997.51,283.48,0.0,0.0,0.0,0,9
2020-11-29,10876.78,259.67,0.0,0.0,0.0,0,12
2020-11-30,16580.34,248.95,0.0,0.0,0.0,0,14
2020-12-01,15242.34,307.35,0.0,0.0,0.0,0,0
2020-12-02,13750.37,297.41,0.0,0.0,0.0,0,2
2020-12-03,12722.86,258.22,0.0,0.0,0.0,0,1
2020-12-04,8428.44,211.18,0.0,0.0,0.0,0,4
2020-12-05,7030.41,141.68,0.0,0.0,0.0,0,6
2020-12-06,11370.74,246.16,0.0,0.0,0.0,0,12
2020-12-07,13686.8,368.94,0.0,0.0,0.0,0,8
2020-12-08,13336.71,298.09,0.0,0.0,0.0,0,1
2020-12-09,20123.1,306.78,0.0,0.0,0.0,0,4
2020-12-10,15777.54,301.36,0.0,0.0,0.0,0,7
2020-12-11,11743.13,281.66,0.0,0.0,0.0,0,8
2020-12-12,9880.15,146.88,0.0,0.0,0.0,0,0
2020-12-13,15999.43,132.43,0.0,0.0,0.0,0,8
2020-12-14,16000.37,368.72,0.0,0.0,0.0,0,6
2020-12-15,13480.87,305.15,0.0,0.0,0.0,0,2
2020-12-16,19722.02,266.79,0.0,0.0,0.0,0,3
2020-12-17,13585.78,266.93,0.0,0.0,0.0,0,10
2020-12-18,9018.82,159.96,0.0,0.0,0.0,0,6
2020-12-19,7179.0,93.61,0.0,0.0,0.0,0,2
2020-12-20,10360.26,181.49,0.0,0.0,0.0,0,0
2020-12-21,27815.43,328.84,0.0,0.0,0.0,0,173
2020-12-22,13697.02,291.59,0.0,0.0,0.0,0,77
2020-12-23,6539.35,205.53,0.0,0.0,0.0,0,43
2020-12-24,4027.13,147.59,0.0,0.0,0.0,0,23
2020-12-25,1345.77,122.88,0.0,0.0,0.0,0,12
2020-12-26,3244.46,322.73,0.0,0.0,0.0,0,19
2020-12-27,6479.29,358.05,0.0,0.0,0.0,0,37
2020-12-28,21459.86,291.95,0.0,0.0,0.0,0,161
2020-12-29,14625.93,252.36,0.0,0.0,0.0,0,69
2020-12-30,11539.21,203.72,0.0,0.0,0.0,0,49
2020-12-31,7579.93,116.91,0.0,0.0,0.0,0,37
2021-01-01,1570.62,78.96,0.0,0.0,0.0,0,0
2021-01-02,3999.7,224.44,0.0,0.0,0.0,0,0
2021-01-03,6611.15,372.55,0.0,0.0,0.0,0,4
2021-01-04,10910.37,355.49,0.0,0.0,0.0,0,2
2021-01-05,5884.69,301.71,0.0,0.0,0.0,0,3
2021-01-06,5466.0,347.34,0.0,0.0,0.0,0,2
2021-01-07,10801.13,339.9,0.0,0.0,0.0,0,12
2021-01-08,6131.68,179.33,0.0,0.0,0.0,0,3
2021-01-09,5810.96,175.35,0.0,0.0,0.0,0,0
2021-01-10,8567.47,160.13,0.0,0.0,0.0,0,5
2021-01-11,12182.16,296.27,0.0,0.0,0.0,0,8
2021-01-12,10807.23,252.64,0.0,0.0,0.0,0,4
2021-01-13,9715.2,258.05,0.0,0.0,0.0,0,3
2021-01-14,8394.47,249.93,0.0,0.0,0.0,0,4
2021-01-15,6102.56,212.14,0.0,0.0,0.0,0,2
2021-01-16,3675.21,179.17,0.0,0.0,0.0,0,1
2021-01-17,8370.53,209.32,0.0,0.0,0.0,0,1
2021-01-18,12424.05,311.53,0.0,0.0,0.0,0,3
